ABC,XYZ,item_name,item_category_name
A,X,"Assassin's Creed: Синдикат. Биг Бен [PS4, русская версия]",Игры - PS4
A,X,"Assassin's Creed: Синдикат. Специальное издание [PS4, русская версия]",Игры - PS4
A,Y,"1С:Деньги 8 Электронная версия [PC, Цифровая версия]",Программы - Для дома и офиса (Цифра)
A,Y,1С:Розница 8. Базовая версия,Программы - 1С:Предприятие 8
A,Z,007: КООРДИНАТЫ «СКАЙФОЛЛ»,Кино - DVD
A,Z,007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),Кино - Blu-Ray
B,X,"1С-Битрикс: Управление сайтом - Малый бизнес [PC, Цифровая версия]",Программы - Для дома и офиса (Цифра)
B,X,"Assassin's Creed: Единство. Золотое издание [PC, Цифровая версия]",Игры PC - Цифра
B,Y,100 лучших народных песен (mp3-CD) (CD-Digipack),Музыка - MP3
B,Y,100 шедевров классики (mp3-CD) (Digipack),Музыка - MP3
B,Z,"007 Legends [PS3, русская версия]",Игры - PS3
B,Z,1+1,Кино - DVD
C,X,! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,Кино - DVD
C,X,***В ЛУЧАХ СЛАВЫ   (UNV)                    D,Кино - DVD
C,Y,100 пудов из мультхитов (подар. уп.) (mp3-CD) (Jewel),Музыка - MP3
C,Y,12/ДВЕНАДЦАТЬ (BD),Кино - Blu-Ray
C,Z,"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",Программы - Для дома и офиса (Цифра)
C,Z,"007 Legends [PС, Jewel, русская версия]",Игры PC - Стандартные издания
