s.item_id,sales,items_sold,i.item_name
1583,123969.0,31,"Assassin's Creed: Синдикат. Специальное издание [PS4, русская версия]"
1586,53991.0,9,"Assassin's Creed: Синдикат. Чаринг-Кросс [PS4, русская версия]"
3351,51987.0,13,"FIFA 16 [PS4, русская версия]"
7223,39990.0,10,"Uncharted: Натан Дрейк. Коллекция [PS4, русская версия]"
3756,37995.0,5,"Guitar Hero Live (Гитара + игра) [PS4, английская версия]"
3350,35988.0,12,"FIFA 16 [PS3, русская версия]"
3352,35838.0,12,"FIFA 16 [Xbox 360, русская версия]"
19656,34680.75,33,ТЕРМИНАТОР ГЕНЕЗИС (3D BD+BD)
13448,33490.0,1,Комплект Sony PlayStation 4 (1Tb) Black (CUH-1208B) + игра Uncharted: Натан Дрейк. Коллекция
17717,32399.0,28,Прием денежных средств для 1С-Онлайн
