item_id,sales,ABC,XYZ,item_name
15199,47359.0,C,Z,Музыкальная шкатулка/LOVE STORY
8031,47341.19999694824,C,Z,ZZ TOP  Greatest Hits
8701,47338.300048828125,C,Z,БЕГЛЕЦЫ (регион)
14359,47317.0,C,Z,МАРА  Почувствуй разницу  Live  2CD+DVD (фирм.)
6350,47306.0,C,Z,STING  Ten Summoner`s Tales  LP
11542,47286.7001953125,C,Z,Жетоны Wolfenstein The New Order Dogtag Blazkowicz
16515,47284.40971374512,C,Z,ОДНАЖДЫ В ИРЛАНДИИ (BD)
3788,47225.0,C,Z,HELLOWEEN  Straight Out Of Hell
10697,47200.0,C,Z,"Государственные и муниципальные учреждения: учет в 1С:БГУ 8. Е.А.Кадыш, С.Ю.Рыженкова, К.В.Сергеева"
21993,47192.0,C,Z,Шпионский танк Rover Spy Tank
